paper_id,title,domain,mode,task_id_or_doc_id,url
paper_scv_7c15a752c5,Thermodynamic and Magnetic Topology Evolution of the X1.0 Flare on 2021 October 28 Simulated by a Data-driven Radiative Magnetohydrodynamic Model,plasma-physics,sciverse_content_v1,72a256038e61d85899f104932bc8d111b0ab312e2ac89b9308663855008f4c2d,https://api.sciverse.space/content?doc_id=72a256038e61d85899f104932bc8d111b0ab312e2ac89b9308663855008f4c2d
paper_scv_80b9242ddc,Structure-based drug discovery,drug-discovery,sciverse_content_v1,612953cd5eccf647851635699890bed587d5e914b6dd45102981cf7666a4fad9,https://api.sciverse.space/content?doc_id=612953cd5eccf647851635699890bed587d5e914b6dd45102981cf7666a4fad9
paper_scv_86cb23e1e5,A review of the SCOSTEP’s 5-year scientific program VarSITI—Variability of the Sun and Its Terrestrial Impact,plasma-physics,sciverse_content_v1,ad7337ff1d6946c36788a31c434377398e18250a4b8a0860755045c191716086,https://api.sciverse.space/content?doc_id=ad7337ff1d6946c36788a31c434377398e18250a4b8a0860755045c191716086
paper_scv_86f87f8be0,Prospects of Retrieval Augmented Generation (RAG) for Academic Library Search and Retrieval,scientific-ml,sciverse_content_v1,d25b697727de230003e6071f24f811cc56c7b39d7eeb4e30d68647d55f0ad64c,https://api.sciverse.space/content?doc_id=d25b697727de230003e6071f24f811cc56c7b39d7eeb4e30d68647d55f0ad64c
paper_scv_87c2973e0a,Using thermal interface resistance for non-invasive operando mapping of buried interfacial lithium morphology in-solid state batteries,materials-science,sciverse_content_v1,c62a87b5f8bbac2061ffc8b397eb46b60ebe9a59056cca562d904adc191f5121,https://api.sciverse.space/content?doc_id=c62a87b5f8bbac2061ffc8b397eb46b60ebe9a59056cca562d904adc191f5121
paper_scv_8b9348ace4,"Small Models, Big Insights: Leveraging Slim Proxy Models To Decide When and What to Retrieve for LLMs",scientific-ml,sciverse_content_v1,b21d19dd5e857c329dc89810ce560d16faef78032875aabd3976bbf55f0dad02,https://api.sciverse.space/content?doc_id=b21d19dd5e857c329dc89810ce560d16faef78032875aabd3976bbf55f0dad02
paper_scv_8dc042136b,"Data-driven, time-dependent modeling of pre-eruptive coronal magnetic field configuration at the periphery of NOAA AR 11726",plasma-physics,sciverse_content_v1,5a1261fef359374857de7f3ea2e83de6740a29ee9ac8e50db2ab25c8420bda3a,https://api.sciverse.space/content?doc_id=5a1261fef359374857de7f3ea2e83de6740a29ee9ac8e50db2ab25c8420bda3a
paper_scv_919ae5e8f4,Optimization of reorganization energy drives evolution of the designed Kemp eliminase KE07,protein-engineering,sciverse_content_v1,29bf000f2ebbe60cfb5c5f7dd4e1cf64dbe2f65f31de516bcfb48c269e7f44a8,https://api.sciverse.space/content?doc_id=29bf000f2ebbe60cfb5c5f7dd4e1cf64dbe2f65f31de516bcfb48c269e7f44a8
paper_scv_91b9cf752b,Data-driven Modeling of a Coronal Magnetic Flux Rope: from Birth to Death,plasma-physics,sciverse_content_v1,a7d485dfe9da66dde7cbf98388d4023e7f2eb1c1924639cc29282bc24221cf27,https://api.sciverse.space/content?doc_id=a7d485dfe9da66dde7cbf98388d4023e7f2eb1c1924639cc29282bc24221cf27
paper_scv_91bce634c9,A Recommender System for Inverse Design of Polycarbonates and Polyesters,materials-science,sciverse_content_v1,955cc434e3156940d75708c0417f8507b70425a1facde12dadfd1a2851ceaf54,https://api.sciverse.space/content?doc_id=955cc434e3156940d75708c0417f8507b70425a1facde12dadfd1a2851ceaf54
paper_scv_9281e96ded,High-throughput methods for genome editing: the more the better,computational-biology,sciverse_content_v1,7f1f46bd8f61a0f75b67124eb1e77e2b71876d46f5408e4323ba3e340a3ec8e8,https://api.sciverse.space/content?doc_id=7f1f46bd8f61a0f75b67124eb1e77e2b71876d46f5408e4323ba3e340a3ec8e8
paper_scv_92be4fba7a,Machine learning using combined structural and chemical descriptors for prediction of methane adsorption performance of metal organic frameworks (MOFs),materials-science,sciverse_content_v1,2f3502a68459e8dca43bd60d7ed58ac22cb816342fa47615a0d1595b28611968,https://api.sciverse.space/content?doc_id=2f3502a68459e8dca43bd60d7ed58ac22cb816342fa47615a0d1595b28611968
paper_scv_9355670f09,Efficient Multi-agent Reinforcement Learning by Planning,scientific-ml,sciverse_content_v1,387a4b46efddf3b6c4d627f5ba84d545c57004275050b01fed6835b0ecc8526f,https://api.sciverse.space/content?doc_id=387a4b46efddf3b6c4d627f5ba84d545c57004275050b01fed6835b0ecc8526f
paper_scv_957378c119,Communication of scientific uncertainty: international case studies on the development of folate and vitamin D Dietary Reference Values,scientific-ml,sciverse_content_v1,9d59dcacfbd50bdf7a060bdbcab0aeaa6935038ce659ca09dcab35fe5c744029,https://api.sciverse.space/content?doc_id=9d59dcacfbd50bdf7a060bdbcab0aeaa6935038ce659ca09dcab35fe5c744029
paper_scv_96e81eb991,Hit discovery and hit-to-lead approaches,drug-discovery,sciverse_content_v1,04fc8e08994b1ebf0aeca8404cd6bca6f94f4245ac2213bc0eaf92a015dda1b2,https://api.sciverse.space/content?doc_id=04fc8e08994b1ebf0aeca8404cd6bca6f94f4245ac2213bc0eaf92a015dda1b2
paper_scv_9774b0116a,Decoding Heterogenous Single-cell Perturbation Responses,computational-biology,sciverse_content_v1,a4687671d0fce27f3b43c7183a3680e01d240b6004e653f3f226975cbbd89a68,https://api.sciverse.space/content?doc_id=a4687671d0fce27f3b43c7183a3680e01d240b6004e653f3f226975cbbd89a68
paper_scv_97a217352b,The data-intensive scientific revolution occurring where two-dimensional materials meet machine learning,materials-science,sciverse_content_v1,c5b6c288b2871c6cd712ada5c9d3fa44619851f075d2253c9dfd82cae6166b37,https://api.sciverse.space/content?doc_id=c5b6c288b2871c6cd712ada5c9d3fa44619851f075d2253c9dfd82cae6166b37
paper_scv_982d59a642,Machine learning the quantum-chemical properties of metal-organic frameworks for accelerated materials discovery,materials-science,sciverse_content_v1,4ba750460c201ee4045d5b4a6ebc95defadf4293517a1ba0976e3732bc839866,https://api.sciverse.space/content?doc_id=4ba750460c201ee4045d5b4a6ebc95defadf4293517a1ba0976e3732bc839866
paper_scv_99504c002e,Hunting for peptide binders of specific targets with data-centric generative language models,computational-biology,sciverse_content_v1,dec299dd0d987aa05a1fa49b8ae2c64cace03b15c15d3eab5300d7912f862b9d,https://api.sciverse.space/content?doc_id=dec299dd0d987aa05a1fa49b8ae2c64cace03b15c15d3eab5300d7912f862b9d
paper_scv_9b440b5c6e,Assessing and enhancing foldability in designed proteins,protein-engineering,sciverse_content_v1,71109b30b4dc2bd8853d6d14812727cb0f19a3968d1095b336fb21cb294f4653,https://api.sciverse.space/content?doc_id=71109b30b4dc2bd8853d6d14812727cb0f19a3968d1095b336fb21cb294f4653
paper_scv_9d0f948748,Gas adsorption meets deep learning: voxelizing the potential energy surface of metal-organic frameworks,materials-science,sciverse_content_v1,929a9cfdfa0202a6a1ca1c5ebcbc00494200c0132d0e58ad40fe2279ac842d2b,https://api.sciverse.space/content?doc_id=929a9cfdfa0202a6a1ca1c5ebcbc00494200c0132d0e58ad40fe2279ac842d2b
paper_scv_9ea7caec21,Homologous Coronal Mass Ejections Caused by Recurring Formation and Disruption of Current Sheet within a Sheared Magnetic Arcade,plasma-physics,sciverse_content_v1,59b48c3447f9599f50873471b5a7372a373ce62f10c89d403fe25c2470864466,https://api.sciverse.space/content?doc_id=59b48c3447f9599f50873471b5a7372a373ce62f10c89d403fe25c2470864466
